OSD.latitude,OSD.longitude,OSD.height [ft],OSD.pitch,OSD.yaw [360],GIMBAL.pitch
13.1939387032944,-59.6415065636197,21.9,0,235.3,-90
13.1939387754624,-59.6415065581642,21.9,0.5,235.3,-90
13.1939388220323,-59.6415066354917,21.9,1.1,235.3,-90
13.1939388078797,-59.6415068230206,21.9,1.2,235.4,-90
13.1939388006835,-59.6415069896073,22.3,2.3,235.3,-90
13.1939387454952,-59.6415071448607,22.3,4.2,235.2,-90
13.1939386942991,-59.641507332812,22.3,5.2,235.2,-90
13.1939387378535,-59.6415073239072,22.3,5,235.1,-90
13.1939387035514,-59.6415074104562,21.9,4.8,235.1,-90
13.1939388100215,-59.6415074697278,21.9,4.7,235.1,-90
13.1939388751817,-59.6415075221007,21.9,5,235.2,-90
13.1939388268812,-59.6415076476831,21.9,8.1,235.2,-90
13.1939388967704,-59.6415076341323,21.9,10.8,235.1,-90
13.1939389648262,-59.6415077659798,21.9,11.1,235.2,-90
13.1939391214644,-59.6415076002377,21.9,11,235.1,-90
13.1939393641146,-59.6415072778696,21.9,11.4,235.2,-90
13.1939396353785,-59.6415069403669,21.9,11.5,235.4,-90
13.1939399332342,-59.6415064580995,21.9,12.5,235.3,-90
13.193940375186,-59.6415058321937,21.9,13.7,235.2,-90
13.193940850686,-59.6415052548243,21.9,12.2,235.3,-90
13.1939413729615,-59.6415045124521,21.9,10.5,235.3,-90
13.1939419749781,-59.6415036675866,21.9,10,235.1,-90
13.193942535051,-59.6415028786489,22.3,10.3,235.1,-90
13.1939430469434,-59.6415020745765,22.3,10.7,235.2,-90
13.1939437663615,-59.6415010139894,22.3,10.7,235.3,-90
13.1939443987737,-59.6415000784216,21.9,10.1,235.2,-90
13.1939452980293,-59.6414987260173,21.9,8.7,235.4,-90
13.1939460525719,-59.6414976399125,21.9,7.4,235.5,-90
13.1939468625598,-59.6414964345607,22.3,8.7,235.3,-90
13.1939475040873,-59.6414953084371,22.3,9.2,235.2,-90
