OSD.latitude,OSD.longitude,OSD.height [ft],OSD.pitch,OSD.yaw [360],GIMBAL.pitch
13.19378887,-59.64191701,26.2,-28.6,91.4,-90
13.19378878,-59.64191349,26.2,-27.9,91.4,-90
13.19378833,-59.64191034,26.2,-27.1,91.4,-90
13.1937882,-59.64190696,26.2,-26.9,91.5,-90
13.1937881,-59.64190233,26.2,-26.4,91.6,-90
13.19378792,-59.64189823,26.2,-25.4,91.4,-90
13.19378808,-59.6418934,26.2,-23.5,91.4,-90
13.19378801,-59.64188935,26.2,-21,91.3,-90
13.19378756,-59.64188331,26.2,-18.5,91.5,-90
13.19378741,-59.64187838,26.2,-18.3,91.5,-90
13.19378708,-59.64187336,26.2,-17.8,91.5,-90
13.19378687,-59.64186805,26.2,-17.4,91.3,-90
13.1937866,-59.64186193,26.2,-12.6,91.4,-90
13.19378639,-59.6418567,26.2,-1.1,91.3,-90
13.19378623,-59.64185219,26.2,5.8,91.3,-90
13.19378606,-59.64184711,26.5,9,91.1,-90
13.19378575,-59.64184197,26.5,23.9,90.4,-90
13.19378562,-59.64183763,26.5,28.6,92.5,-90
13.19378569,-59.64183469,26.5,30,92.4,-90
13.19378561,-59.64183138,26.2,30.5,91,-90
13.19378517,-59.64182904,26.2,26.4,91.2,-90
13.19378495,-59.6418265,32,23,90.9,-90
13.19378452,-59.64182537,32,21.1,90.1,-90
13.19378429,-59.64182429,32,14.3,91,-90
13.19378416,-59.64182373,32,8.6,91.6,-90
13.19378403,-59.64182331,32,4.9,91.4,-90
13.19378358,-59.64182259,32,2.3,91.2,-90
13.19378339,-59.64182234,32,0.7,91.4,-90
13.19378323,-59.64182186,32,-1,91.4,-90
13.19378306,-59.64182165,32,-2.5,91.5,-90
13.19378275,-59.64182153,32,-2.8,91.5,-90
13.19378258,-59.64182137,32,-0.9,91.5,-90
13.1937822,-59.64182098,32,-0.3,91.4,-90
13.19378203,-59.64182087,32,-1.4,91.5,-90
13.19378185,-59.64182086,32,-3,91.4,-90
13.19378171,-59.64182085,32,-4.6,91.5,-90
13.19378172,-59.64182063,32,-7.4,91.5,-90
13.19378169,-59.64182051,32,-10.5,91.4,-90
13.19378171,-59.64182046,32,-12.7,91.2,-90
13.19378171,-59.64182017,32,-13.7,91.1,-90
13.19378165,-59.64181967,32,-14.5,91.2,-90
13.19378165,-59.64181912,32,-17,91.5,-90
13.19378142,-59.6418181,32,-18,91.6,-90
13.19378132,-59.64181708,32,-17.5,91.5,-90
13.19378114,-59.64181558,32,-16.8,91.6,-90
13.19378103,-59.64181427,32,-16.5,91.8,-90
13.19378084,-59.64181266,32,-16.8,91.8,-90
13.19378072,-59.64181103,32,-16.5,91.7,-90
13.1937807,-59.64180883,32,-15.3,91.5,-90
13.1937806,-59.64180657,32,-15.9,91.6,-90
13.19378028,-59.64180474,32,-17.5,91.6,-90
13.19378014,-59.641802,32,-17.9,91.6,-90
13.19377975,-59.64179934,32,-18,91.8,-90
13.19377958,-59.64179674,32,-17.1,91.7,-90
13.19377947,-59.64179422,32,-15.5,91.7,-90
13.19377929,-59.64179119,32,-15.6,91.7,-90
13.19377922,-59.64178789,32,-17.3,91.9,-90
