OSD.latitude,OSD.longitude,OSD.height [ft],OSD.pitch,OSD.yaw [360],GIMBAL.pitch
13.1937852922984,-59.6417420840385,14.1,1,317.3,-42.5
13.1937852359791,-59.6417420269491,14.1,1,316.3,-42.5
13.1937852494464,-59.6417420139966,14.1,0.6,315.2,-42.5
13.1937850901866,-59.641742055177,14.4,1.3,313.8,-42.5
13.1937850805744,-59.6417420679183,14.1,1.3,311.7,-42.5
13.1937849297444,-59.6417420519389,14.1,1.2,309.5,-42.5
13.1937848807414,-59.6417420478561,14.1,1,307,-42.5
13.1937849112227,-59.6417419100952,14.1,0,304.4,-42.5
13.1937848517508,-59.6417418786995,14.1,0,301.7,-42.5
13.1937847157246,-59.6417418349849,14.1,-0.1,298.9,-42.5
13.1937846979909,-59.6417418361816,14.1,-0.2,296.3,-42.5
13.1937847669036,-59.6417419887252,14.1,1.3,293.3,-42.5
13.1937847398149,-59.6417420692558,14.1,1.3,291.9,-42.5
13.193784706952,-59.6417421144487,14.1,2.5,291.7,-42.5
13.1937847456233,-59.6417421981471,14.1,4.1,290.8,-42.5
13.1937847451264,-59.6417422250375,14.1,5.7,290.3,-42.5
13.1937847531965,-59.6417422908558,14.1,15.2,290.5,-42.5
13.193784694804,-59.6417421973727,14.1,22,291.3,-42.5
13.1937845972434,-59.6417418953125,14.1,25.6,291.5,-42.5
13.1937842861084,-59.6417412015101,14.1,30.4,291.4,-42.5
13.1937839093505,-59.641740072955,14.1,30.5,290.9,-42.5
13.1937830080031,-59.641738437775,14.1,26.9,291.1,-42.5
13.1937821150342,-59.6417364646338,14.1,25,291.7,-42.5
13.1937811527585,-59.6417344793849,14.1,28.2,292.6,-42.5
13.1937799446281,-59.6417316839724,14.1,27.7,292.2,-42.5
13.1937788076892,-59.6417286518957,14.1,26.2,291.1,-42.5
13.193777681716,-59.6417256398109,14.1,25,290.7,-42.5
13.1937766128501,-59.6417227553502,14.1,25.3,291.4,-42.5
13.1937750125584,-59.6417184899722,14.1,29.1,291.9,-42.5
13.1937735815327,-59.6417147135503,14.1,27.2,291.9,-42.5
13.1937720272284,-59.6417105404588,14.1,14.8,291,-42.5
13.1937703984601,-59.6417070456125,14.4,-2.1,289.9,-42.5
13.1937685648557,-59.6417023556185,14.4,-9.6,290.2,-42.5
13.1937671846664,-59.6416989555225,14.4,-15.9,290.2,-42.5
13.1937656052437,-59.6416950085361,14.4,-26.9,290.4,-42.5
13.1937645100773,-59.6416919643517,14.4,-24.3,289.7,-42.5
13.193763404562,-59.6416894372104,14.4,-13,288.8,-42.5
13.1937624954529,-59.6416871447625,14.4,-1,290.6,-42.5
13.1937616603796,-59.6416850849664,14.4,0.5,291.3,-42.5
13.1937611823944,-59.6416832226252,14.4,-2.2,290.6,-42.5
13.1937602010829,-59.6416805658888,14.4,-5.1,289.8,-42.5
13.1937595823082,-59.6416788125878,14.4,-8,289.5,-42.5
13.1937590394711,-59.6416770302141,14.4,-6.4,290.1,-42.5
13.1937587479031,-59.6416752025067,14.4,-4,289.8,-42.5
13.1937582221314,-59.6416733217223,14.4,-6.1,290.1,-42.5
13.1937574794784,-59.6416720380894,14.4,-8.6,290.2,-42.5
13.1937569558827,-59.6416705589023,14.4,-11.6,290,-42.5
13.193756531441,-59.6416696030234,14.4,-13.3,290,-42.5
13.1937561898419,-59.6416688305207,14.4,-13.7,290,-42.5
13.1937559772612,-59.6416681881059,14.4,-15.1,290,-42.5
13.193755770112,-59.6416677990388,14.4,-17.1,289.9,-42.5
13.1937556919985,-59.6416678396561,14.4,-18.3,289.8,-42.5
13.1937556532929,-59.641667983682,14.4,-18.5,289.8,-42.5
13.1937556752415,-59.6416683600078,14.4,-17.6,290.1,-42.5
13.1937558499562,-59.6416689414615,14.4,-17.4,290,-42.5
13.1937562878308,-59.6416698297622,14.4,-19,290,-42.5
13.1937567134033,-59.6416709457168,14.4,-19.7,290,-42.5
13.1937571539337,-59.6416722977725,14.4,-18.4,290.1,-42.5
13.1937578516273,-59.6416742357168,14.4,-16.5,290.3,-42.5
13.1937585060919,-59.6416757169454,14.4,-14.3,290.5,-42.5
13.1937592376593,-59.641677679809,14.4,-9.9,290.6,-42.5
13.1937600797404,-59.6416795209617,14.4,-2.2,291,-42.5
13.1937609774897,-59.6416816660752,14.4,-1.1,290.6,-42.5
13.1937615814264,-59.6416836389348,14.4,-1.6,290,-42.5
13.1937623203785,-59.6416859009725,14.4,6.6,290.6,-42.5
13.1937628444368,-59.6416877024934,14.4,17.5,291.1,-42.5
13.1937633059049,-59.6416893454872,14.4,20.4,291.3,-42.5
13.1937636373778,-59.6416908852131,14.4,19,292.1,-42.5
13.1937637963122,-59.6416918696719,14.4,15.4,291.9,-42.5
13.1937636691613,-59.6416923918539,14.4,12.3,291,-42.5
13.1937636433576,-59.6416928775718,14.4,8.6,290.7,-42.5
13.193763543364,-59.641692891369,14.4,5.4,290.5,-42.5
13.1937635123173,-59.6416930116018,14.4,2.8,290.5,-42.5
13.1937634545246,-59.6416930555276,14.4,2.3,290.5,-42.5
13.1937633138379,-59.6416930379291,14.4,2,290.6,-42.5
13.1937633217366,-59.6416928760935,14.4,0.3,290.6,-42.5
13.1937631817353,-59.6416927866229,14.4,-0.9,290.3,-42.5
13.1937630411343,-59.6416929317751,14.4,-0.6,290.2,-42.5
13.1937628635411,-59.6416928577911,14.4,-2.2,290.1,-42.5
13.1937624820028,-59.6416930992422,14.4,-3.3,290.3,-42.5
13.1937623449485,-59.6416931096605,14.4,-2.7,290.3,-42.5
13.1937624866118,-59.6416929971711,14.4,-1.3,290,-42.5
13.1937624050543,-59.6416929966079,14.4,-1.2,290.3,-42.5
13.1937624651773,-59.6416930786872,14.4,-1.1,290,-42.5
13.19376244071,-59.6416931332425,14.4,0.4,290.3,-42.5
13.1937625521662,-59.6416931721703,14.4,0.2,290.4,-42.5
13.1937625701397,-59.6416931871642,14.4,-0.4,290.2,-42.5
13.1937625336616,-59.6416933280224,14.4,-0.9,290.2,-42.5
13.1937625345526,-59.6416934048926,14.4,0.1,290.7,-42.5
13.1937624236789,-59.6416933967973,14.4,1,290.5,-42.5
13.1937624349188,-59.6416934322054,14.4,1,290.5,-42.5
13.1937624022101,-59.6416936103724,14.4,0.3,290.7,-42.5
13.1937624028098,-59.641693649089,14.4,0.5,290.8,-42.5
13.1937625374653,-59.6416936772466,14.4,0.6,290.7,-42.5
13.1937625537254,-59.6416936847083,14.4,-0.3,290.6,-42.5
13.1937625631491,-59.6416936919589,14.4,0.4,290.7,-42.5
13.1937625919341,-59.6416937255368,14.4,1.4,290.4,-42.5
13.1937626324387,-59.6416936272669,14.4,0.7,289.9,-42.5
13.1937626710243,-59.6416936264222,14.4,0.4,290.2,-42.5
13.1937628588636,-59.6416938019846,14.4,2,290.2,-42.5
13.193762889619,-59.6416938535833,14.4,3.8,290.3,-42.5
13.1937628924632,-59.6416938638608,14.4,2.8,290.5,-42.5
13.1937629146174,-59.641693852809,14.4,0.8,290.4,-42.5
13.1937631488039,-59.64169402992,14.4,1,290.2,-42.5
13.1937632243302,-59.6416940862352,14.4,3,290.3,-42.5
13.1937631764409,-59.6416939739569,14.4,3,290.3,-42.5
13.1937631381466,-59.6416939339028,14.4,1.7,290.3,-42.5
13.1937631327837,-59.641693954669,14.4,1.9,290.5,-42.5
13.1937631246793,-59.6416939392527,14.4,3.1,290.4,-42.5
13.1937630448695,-59.6416937209612,14.4,1.8,290.2,-42.5
13.1937630098991,-59.641693652116,14.4,0.3,290.3,-42.5
13.1937631514768,-59.6416939321429,14.4,1.2,290.4,-42.5
13.1937631775375,-59.6416939232733,14.4,1.4,290.2,-42.5
13.1937631202759,-59.6416939672695,14.4,1.2,290.3,-42.5
13.19376313167,-59.6416939754352,14.4,1.6,290.5,-42.5
13.1937631166092,-59.6416939947935,14.4,2.7,290.4,-42.5
13.1937631043927,-59.6416939948639,14.4,2,290.3,-42.5
13.1937629322482,-59.6416940315391,14.4,0.6,290.2,-42.5
13.193762912647,-59.6416940069012,14.4,0.9,290.5,-42.5
13.1937630378103,-59.6416940768024,14.4,1.4,290.5,-42.5
13.1937630599131,-59.6416940841234,14.4,1.8,290.3,-42.5
13.1937630137714,-59.6416940433653,14.4,1.6,290.2,-42.5
13.1937630189801,-59.6416940265412,14.4,1.4,290.4,-42.5
13.1937630829753,-59.6416939783213,14.4,1.4,290.5,-42.5
13.1937631349425,-59.6416939908514,14.4,2.3,290.5,-42.5
13.1937630064381,-59.6416938687884,14.4,2.1,290.4,-42.5
13.1937630066951,-59.6416938067714,14.4,1.4,290.5,-42.5
13.1937631507743,-59.64169389589,14.4,1.3,290.5,-42.5
13.1937631889658,-59.6416938711114,14.4,1.2,290.4,-42.5
13.1937633029407,-59.6416940966535,14.4,1.2,290.3,-42.5
